Rank,Code,Company,Price,1 Day,1 Month,1 Year,Sector,Mkt Cap,MktCapB,HeadOffice,HeadOfficeCity,HeadOfficeState
1,BHP,BHP Group Ltd,58.7,-0.0012,0.0497,0.5148,Materials,$298.28B,298.28,"BHP Group Ltd, Melbourne",Melbourne,VIC
2,CBA,Commonwealth Bank of Australia,162.88,0.0133,-0.0861,-0.0495,Financials,$272.57B,272.57,"Commonwealth Bank of Australia, Sydney",Sydney,NSW
3,WBC,Westpac Banking Corporation,36.39,0.019,-0.0841,0.16,Financials,$124.46B,124.46,"Westpac Banking Corporation, Sydney",Sydney,NSW
4,NAB,National Australia Bank Ltd,37.04,0.0198,-0.1295,0.0054,Financials,$113.62B,113.62,"National Australia Bank Ltd, Melbourne",Melbourne,VIC
5,ANZ,ANZ Group Holdings Ltd,35.52,0.0131,-0.0633,0.2507,Financials,$107.06B,107.06,"ANZ Group Holdings Ltd, Melbourne",Melbourne,VIC
6,MQG,Macquarie Group Ltd,240.98,0.0187,0.0046,0.1814,Financials,$91.85B,91.85,"Macquarie Group Ltd, Sydney",Sydney,NSW
7,WES,Wesfarmers Ltd,72.98,0.0241,0.0018,-0.1189,Consumer Discretionary,$82.8B,82.8,"Wesfarmers Ltd, Perth",Perth,WA
8,FMG,Fortescue Ltd,21.88,-0.0032,0.0306,0.3531,Materials,$67.37B,67.37,"Fortescue Ltd, Perth",Perth,WA
9,RIO,RIO Tinto Ltd,178.66,-0.002,0.0283,0.4956,Materials,$66.43B,66.43,"RIO Tinto Ltd, Melbourne",Melbourne,VIC
10,GMG,Goodman Group,30.65,0.0176,0.0432,-0.0307,Real Estate,$62.67B,62.67,"Goodman Group, Sydney",Sydney,NSW
11,TLS,Telstra Group Ltd,5.55,0.0259,0.0413,0.2171,Communication Services,$62.1B,62.1,"Telstra Group Ltd, Melbourne",Melbourne,VIC
12,WDS,Woodside Energy Group Ltd,32.28,0.004,-0.0138,0.4951,Energy,$61.37B,61.37,"Woodside Energy Group Ltd, Perth",Perth,WA
13,CSL,CSL Ltd,98.69,0.0257,-0.2803,-0.5918,Health Care,$47.26B,47.26,"CSL Ltd, Melbourne",Melbourne,VIC
14,TCL,Transurban Group,14.47,-0.0007,0.0671,0.0162,Industrials,$45.15B,45.15,"Transurban Group, Melbourne",Melbourne,VIC
15,WOW,Woolworths Group Ltd,34.21,0.0373,-0.0701,0.0734,Consumer Staples,$41.79B,41.79,"Woolworths Group Ltd, Sydney",Sydney,NSW
16,QBE,QBE Insurance Group Ltd,23.93,0.0288,0.0509,0.0612,Financials,$35.75B,35.75,"QBE Insurance Group Ltd, Sydney",Sydney,NSW
17,SIG,Sigma Healthcare Ltd,2.85,0.0106,0.0179,-0.0273,Health Care,$32.9B,32.9,"Sigma Healthcare Ltd, Melbourne",Melbourne,VIC
18,ALL,Aristocrat Leisure Ltd,51.74,0.0066,0.0542,-0.1743,Consumer Discretionary,$31.2B,31.2,"Aristocrat Leisure Ltd, Sydney",Sydney,NSW
19,COL,Coles Group Ltd,21.41,0.0269,-0.0501,-0.0111,Consumer Staples,$28.76B,28.76,"Coles Group Ltd, Melbourne",Melbourne,VIC
20,NST,Northern Star Resources Ltd,19.86,-0.007,-0.1641,0.0519,Materials,$28.4B,28.4,"Northern Star Resources Ltd, Perth",Perth,WA
21,STO,Santos Ltd,8.09,0,0.0575,0.278,Energy,$26.27B,26.27,"Santos Ltd, Adelaide",Adelaide,SA
22,EVN,Evolution Mining Ltd,11.95,0.0017,-0.12,0.4717,Materials,$24.27B,24.27,"Evolution Mining Ltd, Sydney",Sydney,NSW
23,BXB,Brambles Ltd,17.53,-0.0057,-0.2171,-0.1925,Industrials,$23.61B,23.61,"Brambles Ltd, Sydney",Sydney,NSW
24,REA,REA Group Ltd,167.8,0.0194,-0.0392,-0.3348,Communication Services,$22.09B,22.09,"REA Group Ltd, Melbourne",Melbourne,VIC
25,ORG,Origin Energy Ltd,11.57,0.0114,-0.0722,0.0461,Utilities,$19.93B,19.93,"Origin Energy Ltd, Sydney",Sydney,NSW
26,SUN,Suncorp Group Ltd,17.83,0.0206,0.0683,-0.1319,Financials,$19.31B,19.31,"Suncorp Group Ltd, Brisbane",Brisbane,QLD
27,IAG,Insurance Australia Group Ltd,8.17,0.0225,0.0937,-0.0467,Financials,$19.2B,19.2,"Insurance Australia Group Ltd, Sydney",Sydney,NSW
28,CPU,Computershare Ltd,33.12,0.0321,0.0757,-0.1983,Industrials,$19.16B,19.16,"Computershare Ltd, Melbourne",Melbourne,VIC
29,PLS,PLS Group Ltd,5.92,-0.0133,-0.0199,3.2135,Materials,$19.07B,19.07,"PLS Group Ltd, Perth",Perth,WA
30,SCG,Scentre Group,3.64,0.0139,0.0312,0.0028,Real Estate,$19.01B,19.01,"Scentre Group, Sydney",Sydney,NSW
31,LYC,Lynas Rare EARTHS Ltd,18.12,-0.0428,-0.1246,1.3905,Materials,$18.24B,18.24,"Lynas Rare EARTHS Ltd, Perth",Perth,WA
32,S32,SOUTH32 Ltd,4.06,0.0074,-0.1038,0.381,Materials,$18.22B,18.22,"SOUTH32 Ltd, Perth",Perth,WA
33,SGH,SGH Ltd,40.2,0.0358,-0.015,-0.2333,Industrials,$16.36B,16.36,"SGH Ltd, Sydney",Sydney,NSW
34,RMD,Resmed Inc,28.75,0.0199,-0.0879,-0.2604,Health Care,$16.22B,16.22,"Resmed Inc, San Diego",San Diego,Outside Australia
35,SOL,Washington H. Soul Pattinson and Company Ltd,42.61,0.017,-0.0153,0.1393,Financials,$16.19B,16.19,"Washington H. Soul Pattinson and Company Ltd, Sydney",Sydney,NSW
36,FPH,Fisher & Paykel Healthcare Corporation Ltd,27.5,0.0311,-0.1194,-0.1789,Health Care,$16.15B,16.15,"Fisher & Paykel Healthcare Corporation Ltd, Auckland",Auckland,Outside Australia
37,APA,APA Group,10.35,0.0068,0.0413,0.253,Utilities,$13.7B,13.7,"APA Group, Sydney",Sydney,NSW
38,PME,Pro Medicus Ltd,130.26,0.0378,-0.1242,-0.5319,Health Care,$13.61B,13.61,"Pro Medicus Ltd, Melbourne",Melbourne,VIC
39,XRO,Xero Ltd,78.62,0.007,-0.041,-0.5668,Information Technology,$13.41B,13.41,"Xero Ltd, Wellington",Wellington,Outside Australia
40,MPL,Medibank Private Ltd,4.79,0.0213,0.0257,0.0063,Financials,$13.19B,13.19,"Medibank Private Ltd, Melbourne",Melbourne,VIC
41,MIN,Mineral Resources Ltd,65.74,0.0256,0.0346,1.7301,Materials,$12.99B,12.99,"Mineral Resources Ltd, Perth",Perth,WA
42,BSL,Bluescope Steel Ltd,29.6,0.0024,0.0353,0.2677,Materials,$12.97B,12.97,"Bluescope Steel Ltd, Melbourne",Melbourne,VIC
43,QAN,Qantas Airways Ltd,8.55,0.013,-0.0584,-0.1634,Industrials,$12.94B,12.94,"Qantas Airways Ltd, Sydney",Sydney,NSW
44,WTC,Wisetech Global Ltd,38.12,-0.0021,-0.1745,-0.6165,Information Technology,$12.81B,12.81,"Wisetech Global Ltd, Sydney",Sydney,NSW
45,IFT,Infratil Ltd,12.45,0.0057,0.255,0.1712,Financials,$12.44B,12.44,"Infratil Ltd, Wellington",Wellington,Outside Australia
46,NEM,Newmont Corporation,153.43,0.0175,-0.0186,0.9326,Materials,$12.38B,12.38,"Newmont Corporation, Denver",Denver,Outside Australia
47,TLC,The Lottery Corporation Ltd,5.33,0.0152,-0.0533,0,Consumer Discretionary,$11.86B,11.86,"The Lottery Corporation Ltd, Brisbane",Brisbane,QLD
48,ALQ,Als Ltd,23.32,0.0683,0.0533,0.3168,Industrials,$11.84B,11.84,"Als Ltd, Brisbane",Brisbane,QLD
49,VCX,Vicinity Centres,2.55,0.0159,0.0039,0.0851,Real Estate,$11.83B,11.83,"Vicinity Centres, Melbourne",Melbourne,VIC
50,ASX,ASX Ltd,59.29,0.018,0.0042,-0.1731,Financials,$11.59B,11.59,"ASX Ltd, Sydney",Sydney,NSW
51,AIA,Auckland International Airport Ltd,6.75,-0.003,0.003,-0.0741,Industrials,$11.47B,11.47,"Auckland International Airport Ltd, Auckland",Auckland,Outside Australia
52,NXT,NEXTDC Ltd,14.55,-0.0021,0.0469,0.095,Information Technology,$11.05B,11.05,"NEXTDC Ltd, Brisbane",Brisbane,QLD
53,ORI,Orica Ltd,23.07,0.0244,0.1292,0.2423,Materials,$10.69B,10.69,"Orica Ltd, Melbourne",Melbourne,VIC
54,CAR,CAR Group Ltd,26.7,0.0369,0.0179,-0.2606,Communication Services,$10.12B,10.12,"CAR Group Ltd, Melbourne",Melbourne,VIC
55,SGP,Stockland,3.95,0.0313,-0.0857,-0.2831,Real Estate,$9.6B,9.6,"Stockland, Sydney",Sydney,NSW
56,LNW,Light & Wonder Inc,114.58,0.0137,-0.057,-0.1184,Consumer Discretionary,$9.3B,9.3,"Light & Wonder Inc, Las Vegas",Las Vegas,Outside Australia
57,CHC,Charter Hall Group,19.45,0.0221,-0.0636,0.0818,Real Estate,$9.2B,9.2,"Charter Hall Group, Sydney",Sydney,NSW
58,GPT,GPT Group,4.77,0.0236,0.0214,0.0192,Real Estate,$9.14B,9.14,"GPT Group, Sydney",Sydney,NSW
59,SHL,Sonic Healthcare Ltd,18.43,0.0022,-0.1036,-0.3053,Health Care,$9.11B,9.11,"Sonic Healthcare Ltd, Sydney",Sydney,NSW
60,TNE,Technology One Ltd,27.8,-0.0293,-0.0983,-0.1581,Information Technology,$9.1B,9.1,"Technology One Ltd, Brisbane",Brisbane,QLD
61,YAL,Yancoal Australia Ltd,6.85,0.027,0.0178,0.3591,Energy,$9.05B,9.05,"Yancoal Australia Ltd, Sydney",Sydney,NSW
62,JHX,James Hardie Industries Plc,26.78,0.0292,-0.0449,-0.3017,Materials,$9.02B,9.02,"James Hardie Industries Plc, Dublin",Dublin,Outside Australia
63,QUB,QUBE Holdings Ltd,5.02,0.002,0.002,0.1812,Industrials,$8.89B,8.89,"QUBE Holdings Ltd, Sydney",Sydney,NSW
64,GGP,Greatland Resources Ltd,13.12,-0.0121,-0.0806,0.9879,Materials,$8.83B,8.83,"Greatland Resources Ltd, London",London,Outside Australia
65,RHC,Ramsay Health Care Ltd,38.15,0.028,-0.0743,0.0759,Health Care,$8.81B,8.81,"Ramsay Health Care Ltd, Sydney",Sydney,NSW
66,ALD,Ampol Ltd,35.69,0.0034,0.0838,0.3514,Energy,$8.51B,8.51,"Ampol Ltd, Sydney",Sydney,NSW
67,SFR,Sandfire Resources Ltd,18.08,-0.0033,-0.0077,0.7203,Materials,$8.44B,8.44,"Sandfire Resources Ltd, Perth",Perth,WA
68,REH,Reece Ltd,13.71,0.0379,0.0787,-0.1681,Industrials,$8.43B,8.43,"Reece Ltd, Melbourne",Melbourne,VIC
69,TPG,TPG Telecom Ltd,4.22,0.0144,-0.0232,-0.1822,Communication Services,$8.28B,8.28,"TPG Telecom Ltd, Sydney",Sydney,NSW
70,AFI,Australian Foundation Investment Company Ltd,6.65,0.003,0.0015,-0.0673,Financials,$8.27B,8.27,"Australian Foundation Investment Company Ltd, Melbourne",Melbourne,VIC
71,MCY,Mercury NZ Ltd,5.58,-0.0211,0.0314,-0.0412,Utilities,$7.95B,7.95,"Mercury NZ Ltd, Auckland",Auckland,Outside Australia
72,JBH,JB Hi-Fi Ltd,69.84,-0.0111,-0.0819,-0.3296,Consumer Discretionary,$7.64B,7.64,"JB Hi-Fi Ltd, Melbourne",Melbourne,VIC
73,AMC,Amcor Plc,52.5,0.0206,-0.0632,-0.2843,Materials,$7.56B,7.56,"Amcor Plc, Zurich",Zurich,Outside Australia
74,CDA,Codan Ltd,40.07,0.0083,0.1796,1.364,Information Technology,$7.29B,7.29,"Codan Ltd, Adelaide",Adelaide,SA
75,PRU,Perseus Mining Ltd,5.38,0.0019,-0.041,0.5824,Materials,$7.23B,7.23,"Perseus Mining Ltd, Perth",Perth,WA
76,AZJ,Aurizon Holdings Ltd,4.25,0.0192,0.0391,0.4214,Industrials,$7.15B,7.15,"Aurizon Holdings Ltd, Brisbane",Brisbane,QLD
77,LTR,Liontown Ltd,2.23,-0.0388,0.0136,2.2794,Materials,$7.09B,7.09,"Liontown Ltd, Perth",Perth,WA
78,ALX,Atlas Arteria,4.87,0.0104,0.1405,-0.0706,Industrials,$7.07B,7.07,"Atlas Arteria, Melbourne",Melbourne,VIC
79,GMD,Genesis Minerals Ltd,6.08,0.0066,-0.076,0.5432,Materials,$6.95B,6.95,"Genesis Minerals Ltd, Perth",Perth,WA
80,WHC,Whitehaven Coal Ltd,8.15,0.0137,0.0188,0.5177,Energy,$6.72B,6.72,"Whitehaven Coal Ltd, Sydney",Sydney,NSW
81,ARG,Argo Investments Ltd,8.84,0.0103,0.0103,-0.0045,Financials,$6.71B,6.71,"Argo Investments Ltd, Adelaide",Adelaide,SA
82,MGR,Mirvac Group,1.685,0.009,-0.0534,-0.2511,Real Estate,$6.65B,6.65,"Mirvac Group, Sydney",Sydney,NSW
83,HUB,HUB24 Ltd,81.01,0.017,-0.1539,0.0077,Financials,$6.62B,6.62,"HUB24 Ltd, Sydney",Sydney,NSW
84,DXS,Dexus,6.08,0.0184,-0.0065,-0.1425,Real Estate,$6.52B,6.52,"Dexus, Sydney",Sydney,NSW
85,CGF,Challenger Ltd,9.37,0.0196,0.1155,0.3032,Financials,$6.46B,6.46,"Challenger Ltd, Sydney",Sydney,NSW
86,DNL,Dyno Nobel Ltd,3.65,0.0111,0.13,0.3826,Materials,$6.41B,6.41,"Dyno Nobel Ltd, Melbourne",Melbourne,VIC
87,MEZ,Meridian Energy Ltd,4.84,0.0021,0.0431,-0.0987,Utilities,$6.38B,6.38,"Meridian Energy Ltd, Wellington",Wellington,Outside Australia
88,APE,Eagers Automotive Ltd,22.18,-0.0058,-0.0622,0.2832,Consumer Discretionary,$6.26B,6.26,"Eagers Automotive Ltd, Brisbane",Brisbane,QLD
89,IGO,IGO Ltd,8.25,-0.0132,-0.1081,0.9928,Materials,$6.25B,6.25,"IGO Ltd, Perth",Perth,WA
90,COH,Cochlear Ltd,95.37,0.0198,-0.4339,-0.6482,Health Care,$6.24B,6.24,"Cochlear Ltd, Sydney",Sydney,NSW
91,AGL,AGL Energy Ltd,9.13,0.0144,-0.039,-0.1187,Utilities,$6.14B,6.14,"AGL Energy Ltd, Sydney",Sydney,NSW
92,RMS,Ramelius Resources Ltd,3.22,0.0031,-0.1848,0.2628,Materials,$6.11B,6.11,"Ramelius Resources Ltd, Perth",Perth,WA
93,BEN,Bendigo and Adelaide Bank Ltd,10.51,0.0184,-0.054,-0.1071,Financials,$6.09B,6.09,"Bendigo and Adelaide Bank Ltd, Bendigo",Bendigo,VIC
94,WOR,Worley Ltd,12.41,0.0156,0.0499,-0.0387,Industrials,$6.08B,6.08,"Worley Ltd, Sydney",Sydney,NSW
95,CMM,Capricorn Metals Ltd,12.83,-0.0169,0.1051,0.473,Materials,$5.86B,5.86,"Capricorn Metals Ltd, Perth",Perth,WA
96,EDV,Endeavour Group Ltd,3.09,0.0232,-0.0522,-0.2463,Consumer Staples,$5.55B,5.55,"Endeavour Group Ltd, Sydney",Sydney,NSW
97,NWL,Netwealth Group Ltd,22.2,0.01,-0.1267,-0.2816,Financials,$5.45B,5.45,"Netwealth Group Ltd, Melbourne",Melbourne,VIC
98,HVN,Harvey Norman Holdings Ltd,4.37,0,-0.0438,-0.177,Consumer Discretionary,$5.45B,5.45,"Harvey Norman Holdings Ltd, Sydney",Sydney,NSW
99,DOW,Downer Edi Ltd,7.73,0.0211,0.0517,0.259,Industrials,$5.11B,5.11,"Downer Edi Ltd, Sydney",Sydney,NSW
100,SEK,Seek Ltd,13.97,0.0341,-0.097,-0.3713,Communication Services,$4.99B,4.99,"Seek Ltd, Melbourne",Melbourne,VIC
101,VNT,Ventia Services Group Ltd,6.03,0.0135,0.1641,0.294,Industrials,$4.95B,4.95,"Ventia Services Group Ltd, Sydney",Sydney,NSW
102,WGX,Westgold Resources Ltd,5.21,0.0136,-0.173,1.0039,Materials,$4.92B,4.92,"Westgold Resources Ltd, Perth",Perth,WA
103,RRL,Regis Resources Ltd,6.46,0.0094,-0.1444,0.4044,Materials,$4.89B,4.89,"Regis Resources Ltd, Perth",Perth,WA
104,CWY,Cleanaway Waste Management Ltd,2.18,0.0093,-0.0563,-0.1956,Industrials,$4.89B,4.89,"Cleanaway Waste Management Ltd, Melbourne",Melbourne,VIC
105,TLX,TELIX Pharmaceuticals Ltd,14.21,-0.0035,-0.0294,-0.4479,Health Care,$4.82B,4.82,"TELIX Pharmaceuticals Ltd, Melbourne",Melbourne,VIC
