Date,ASX200,Financials (XFJ),Materials (XMJ),Consumer Discretionary (XDJ) ,Health Care (XHJ),Real Estate (XRE),Energy (XEJ),Industrials (XNJ),Communication Services (XTJ),Utilities (XUJ),Information Technology (XIJ),Consumer Staples (XSJ)
22/05/2025,8348.65,99.22,100.6,98.94,99.69,99.28,98.61,99.68,99.87,99.99,98.36,99.85
23/05/2025,8360.88,99.72,99.94,98.7,99.73,100.04,99.64,99.42,100.62,99.02,99.47,99.63
26/05/2025,8361.02,99.48,100.38,98.98,99.77,100.15,99.61,99.2,100.35,96.66,100.55,99.47
27/05/2025,8407.56,100.57,100.2,99.79,100.67,99.78,100.08,100.05,100.07,96.41,101.8,99.21
28/05/2025,8396.94,99.87,99.81,99.91,100.37,101.03,102.3,99.95,100.38,97.01,103.04,98.83
29/05/2025,8409.8,100.42,99.4,100.02,100.21,100.07,103.66,100.26,100.98,97.2,103.9,98.54
30/05/2025,8434.7,101.15,99.73,99.57,100.39,100.6,102.24,100.28,100.56,98.35,103.3,99.49
2/06/2025,8414.07,101.14,98.96,99.26,100.16,100.35,100.82,100.46,100.95,97.54,102.97,99.63
3/06/2025,8466.68,102.39,99.23,99.15,99.79,101,101.44,101.12,101.72,98.03,103.33,100.42
4/06/2025,8541.84,103.69,99.9,100.53,100.48,101.5,103.74,101.41,101.54,98.59,104.3,100.15
5/06/2025,8538.93,103.57,100.42,100.27,99.71,102.11,103.33,101.08,101.56,97.93,105.04,99.74
6/06/2025,8515.73,103.12,100.36,99.66,99.03,102.03,104.05,101.54,101.12,97.84,104.31,99.44
10/06/2025,8587.2,104.27,100.56,101.47,100.06,102.97,105,101.45,101.59,97.94,106.02,99.97
11/06/2025,8592.1,104.11,101.19,101.54,99.23,103.9,105.81,101.51,101.87,97.87,104.44,100.26
12/06/2025,8565.11,103.58,100.18,101.06,99.54,103.47,105.83,101.89,102.3,98.27,105.13,100.56
13/06/2025,8547.44,103.16,99.94,100.35,98.63,103.18,110.81,101.45,101.53,102.42,103.85,100.81
16/06/2025,8548.37,102.98,99.02,99.99,99.27,103.1,116.58,101.6,102.26,101.87,104.75,99.6
17/06/2025,8541.27,102.72,99.13,99.89,99.03,103.43,116.52,101.53,102.16,101.18,104.99,99.73
18/06/2025,8531.17,102.78,97.58,100.1,99.74,103.02,117.28,101.79,102.44,100.19,106.13,99.96
19/06/2025,8523.7,103.73,95.85,100.71,98.73,103.46,116.63,101.71,102.26,99.46,104.92,100.26
20/06/2025,8505.48,103.11,95.68,100.08,99.29,103.4,116.7,102.34,101.82,100.19,105.45,99.39
23/06/2025,8474.88,103.47,94.42,99.46,99.03,103.1,116.85,100.91,101.78,100.22,104.82,98.43
24/06/2025,8555.54,105.42,96.29,100.15,99.32,103.2,112.3,101.02,101.77,98.23,105.96,98.58
25/06/2025,8559.19,106.63,95.06,100.37,98.74,103.23,111.39,100.77,101.16,98.37,105.51,98.05
26/06/2025,8550.75,106.59,95.22,100.25,99.17,102.49,111.54,100.38,101.18,98.29,103.35,97.99
27/06/2025,8514.17,104.99,97.38,100.1,97.77,101.28,111.5,99.65,101.73,97.34,103.92,97.14
30/06/2025,8542.27,105.48,96.63,101.07,99.31,101.15,111.45,100.64,102.18,97.06,104.05,97.19
1/07/2025,8541.11,105.38,96.47,101.48,99.2,101.91,111.33,100.04,101.91,97.96,104.25,97.63
2/07/2025,8597.75,105.39,98.24,102.33,99.66,103.71,112.31,100.36,103.01,98.8,103.49,98.18
3/07/2025,8595.83,104.06,101.2,101.23,100.26,103.47,113.25,100.21,101.5,98.19,103.19,97.73
4/07/2025,8602.97,104.21,100.22,102.04,100.98,104.27,112.99,100.09,101.6,98.43,103.75,98.36
7/07/2025,8589.3,104.04,99.36,101.28,101.92,103.79,112.77,100.05,101.76,101.89,103.88,98.58
8/07/2025,8590.69,104.44,99.3,101.65,101.51,103.21,112.61,99.95,102.24,100.77,104.05,97.16
9/07/2025,8538.58,104.08,98,101.67,100.99,101.51,112.66,99.37,102.29,101.84,103.27,95.98
10/07/2025,8589.16,104.79,99.22,102.17,100.45,102.49,112.47,100.38,102.19,102.05,102.81,96.71
11/07/2025,8580.13,104.28,101.02,101.49,100.16,100.95,112.31,100.17,101.8,101.81,101.72,96.55
14/07/2025,8570.4,103.94,101.56,101.01,99.9,101.05,112.91,99.6,102.11,101.35,101.28,96.15
