Ticker,Asset,1M,3M,6M,1Y,3Y,5Y ▾,10Y,id
ARGT,Argentina,-2.37,-7.22,-2.74,7.21,34.13,26.58,17.11,32
EPU,Peru,-1.66,-8.35,26.95,83.18,42.45,25.22,13.29,604
GREK,Greece,9.52,-5.15,14.79,46.41,35.43,22.83,14.2,300
EPOL,Poland,5.41,2.1,17.69,36.92,35.55,18.14,10.25,616
EWP,Spain,4.35,0.68,14.53,43.12,29.68,18.03,10.55,724
EWI,Italy,8.12,3.36,12.94,34.69,26.59,16.89,12.29,380
TUR,Turkey,9.94,3.01,25.7,42.12,14.41,16.29,2.11,792
EWO,Austria,10.1,3.89,24.1,52.43,29.32,16.17,13.04,40
EIS,Israel,12.69,9.89,28.91,69.56,36.26,15.49,12.04,376
EWT,Taiwan,26.73,32.06,41.05,98,35.49,15.47,19.13,158
EWY,South Korea,30.69,31.33,69.45,192.53,41.72,14.54,14.03,410
EWW,Mexico,1.61,1.76,17.1,39.22,11.49,14.47,6.26,484
GXG,Colombia,-2.45,-8.03,15.2,53,34.18,13.56,4.21,170
EWC,Canada,6.95,8,16.52,40.21,20.98,12.76,11.03,124
EWU,United Kingdom,3.49,2.14,12.63,28.73,16.19,12.06,7.89,826
VTI,United States,10.4,4.32,6.22,31.36,21.36,11.85,14.73,840
UAE,United Arab Emirates,3.11,-6.15,-1.33,12.35,11.81,11.62,5.22,784
EZA,South Africa,0.62,-6.8,12.83,47.03,23.1,11.44,7.19,710
EWZ,Brazil,3.41,7.18,31.83,54.8,19.29,10.7,8.46,76
ECH,Chile,5.03,-7.69,18.66,37.53,17.51,10.04,4.1,152
NORW,Norway,0.94,18.31,35.98,49.03,22.05,9.08,9.02,578
EWS,Singapore,2.69,2.73,4.38,24.27,19.28,8.92,7.38,702
EWJ,Japan,5.52,3.94,10.77,30.45,18.28,8.33,9.09,392
EWN,Netherlands,9.04,0.71,10.72,35.06,17.44,7.99,12.22,528
EWL,Switzerland,4.35,-0.28,10.86,16.09,10.71,7.94,9.48,756
EWQ,France,4.5,-0.04,2.89,13.54,7.68,7.48,9.14,250
EWA,Australia,6.23,6.27,12.04,23.44,12.35,6.98,8.39,36
EIRL,Ireland,7.3,-1.98,9.34,23.31,11.74,6.78,7.96,372
EWG,Germany,6.53,-1.97,3.76,8.79,15.42,6.68,7.48,276
EWK,Belgium,5.39,-1.76,10.36,23.63,12.8,6.27,6.29,56
EWD,Sweden,6.12,-1.09,9.07,22.66,14.4,5.56,9.11,752
INDA,India,5.51,-4.48,-8.43,-7.75,6.64,5.31,7.44,356
EWM,Malaysia,3.38,0.65,15.43,26.09,14.49,5.23,2.52,458
QAT,Qatar,0.97,-4.72,-1.52,6.34,5.3,3.22,3.52,634
KSA,Saudi Arabia,-1.64,-1.91,-1.76,-0.42,1.22,3.18,7.48,682
EDEN,Denmark,4.97,-9.88,2.53,5.53,1.88,2.87,8.52,208
VNM,Vietnam,8.84,-1.21,8.31,56.41,17.87,1.37,3.97,704
EWH,Hong Kong,2.73,1.45,13.66,42.76,9.27,1,5.43,344
THD,Thailand,1.92,11.95,18.06,33.73,3.22,0.39,3.22,764
EPHE,Philippines,-2.54,-6.82,-0.63,-8.2,-1.55,-1.73,-2.46,608
FXI,China,2.48,-7.12,-6.35,11.38,11.82,-2.29,3.39,156
EIDO,Indonesia,-5.45,-15.41,-17.53,-10.58,-12.24,-4.3,-2.01,360
ENZL,New Zealand,4.62,-4.94,-1.53,7.08,-1.28,-4.98,3.58,554
